Date,Name,Year,Letterboxd URI,Rating
2024-12-25,The Kite Runner,2007,https://boxd.it/20IK,5
2024-12-25,Incendies,2010,https://boxd.it/Msm,5
2024-12-25,2 Guns,2013,https://boxd.it/4oAk,4
2024-12-25,American Me,1992,https://boxd.it/1QBO,4.5
2024-12-25,Shot Caller,2017,https://boxd.it/bihA,4
2024-12-25,City of God,2002,https://boxd.it/2a2a,5
2024-12-25,Menace II Society,1993,https://boxd.it/1Yuc,4.5
2024-12-25,Boyz n the Hood,1991,https://boxd.it/29Ug,5
2024-12-25,American Gangster,2007,https://boxd.it/23wi,4
2024-12-25,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3
2024-12-26,I May Destroy You,2020,https://boxd.it/qX9i,3.5
2024-12-26,The Penguin,2024,https://boxd.it/QkIU,4.5
2024-12-26,BLUE EYE SAMURAI,2023,https://boxd.it/JH9k,4
2024-12-26,Normal People,2020,https://boxd.it/q2VY,4
2024-12-26,Memories of Murder,2003,https://boxd.it/1TSo,5
2024-12-26,Hoop Dreams,1994,https://boxd.it/1Opc,3.5
2024-12-26,Do the Right Thing,1989,https://boxd.it/29gA,4
2024-12-26,Kids,1995,https://boxd.it/1YUY,5
2024-12-26,Bully,2001,https://boxd.it/1Yu2,5
2024-12-26,Thirteen,2003,https://boxd.it/1UPK,4
2024-12-26,Ken Park,2002,https://boxd.it/21b8,3.5
2024-12-26,Spring Breakers,2012,https://boxd.it/421s,4
2024-12-26,Alpha Dog,2006,https://boxd.it/20Va,4
2024-12-26,Havoc,2005,https://boxd.it/1NyW,4
2024-12-26,Natural Born Killers,1994,https://boxd.it/2aNg,4
2024-12-27,The Burning Bed,1984,https://boxd.it/fH4,3
2024-12-27,V for Vendetta,2005,https://boxd.it/29Ik,4.5
2024-12-27,The Incredibles,2004,https://boxd.it/1XLm,3.5
2024-12-27,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,5
2024-12-27,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,4.5
2024-12-30,The Collector,2009,https://boxd.it/1BY4,3.5
2025-01-05,Daughters,2024,https://boxd.it/K5f2,4
2025-01-14,Gardens of the Night,2008,https://boxd.it/1JzQ,4.5
2025-01-16,Caught,2015,https://boxd.it/bw2u,2
2025-01-19,Manic,2001,https://boxd.it/1MOE,4.5
2025-03-04,Nosferatu,2024,https://boxd.it/f5eG,3
